no,date,title,txt,attach
9,107/06/11,林正道領銜提出「您是否同意縮減國防，用來養老育幼，全民教育免費，醫療免費。」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-06-25/fda018a7-8f4d-4576-a61d-d27dc9db0682/2a12f48f96c28db495be1c01761cf676.pdf'}]"
10,107/06/11,林正道領銜提出「您是否同意台灣發展成為中華傳統文化的世界前瞻中心。」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-06-22/54e854d0-3bf0-4aae-9678-166356ac57d5/7da384b8d7359da6f969221c5802c21c.pdf'}]"
13,108/01/04,林正道領銜提出「您是否同意應立法要求公職人員選舉候選人，對於其他候選人不得為惡意人身攻擊之行為，否則當選無效。」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '本會函文', 'url': 'https://admin.cec.gov.tw/upload/file/2019-01-23/eabade2c-fb30-46e0-b23c-62cd33a172db/bdea08916ac4e5fb0ce24b8e2a93edc2.pdf'}]"
15,107/10/26,黃士修領銜提出「您是否同意：廢除電業法第95條第1項，即廢除『核能發電設備應於中華民國一百十四年以前，全部停止運轉』之條文？」全國性公民投票案,連署人名冊查對結果統計表,"[{'title': '查對結果統計表', 'url': 'https://web.cec.gov.tw/upload/file/2018-10-26/d25aade4-3413-4c22-9da2-575dd6462e87/98e2be14827447ab4c16772289bd56ea.pdf'}]"
6,107/11/14,馬英九領銜提出「您是否同意：針對總統、立委、監委等高階公職人員以及司法與行政首長，意圖直接或間接為自己或他人所涉司法案件獲得有利或不利之裁判或處分，而對司法人員施以脅迫、恐嚇、關說或其他非法之行為者，科以刑罰？」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-12-28/67be291a-89da-4c53-b809-c5d8cf42bbab/ad8523a09d8bca63336ac9012bdea1fc.pdf'}]"
15,107/10/05,郝龍斌領銜提出「你是否同意政府維持禁止開放日本福島311核災相關地區，包括福島與周遭4縣市（茨城、櫪木、群馬、千葉）等地區農產品及食品進口？」全國性公民投票案,連署人名冊查對結果統計表,"[{'title': '查對結果統計表', 'url': 'https://web.cec.gov.tw/upload/file/2018-10-05/e4aaf78b-665b-47fe-b80e-f3172b20ab8c/3b77982fffc600b5f7eb0366f7626bdf.pdf'}]"
9,107/05/28,陳冲領銜提出「您同意修法使選民可以投反對票（負數票）嗎？一人還是只有一票，選民可以用其唯一選票表達反對某候選人應該是基本人權，贊成票扣除反對票後，淨贊成票較高者當選。」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-06-05/414a86fb-07e8-43e8-8e53-fee31923be56/8606edcb9b8503cf2e9a89afdd590ec5.pdf'}]"
6,107/09/21,謝毅弘領銜提出「您是否同意，立法院應制訂『國定假日法』，保障全國勞工及軍公教人員，每年有不少於十九天之國定假日。」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-12-28/717dde72-10cc-4315-91de-b4596697dc94/4c3db30a644256cbf1581da8a6e0eac6.pdf'}]"
6,107/09/20,陳素香領銜提出「您是否同意廢止民國107年1月31日總統令公布之『增訂勞動基準法第三十二條之一條文；並修正第二十四條、第三十二條、第三十四條、第三十六條至第三十八條及第八十六條條文』？」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-12-28/1a493e03-3efe-41f9-87d0-4af653641368/f0741c9b241ef15e1f4bd40be87c28ac.pdf'}]"
13,107/10/07,曾獻瑩領銜提出「你是否同意以民法婚姻規定以外之其他形式來保障同性別二人經營永久共同生活的權益？」全國性公民投票案,連署人名冊查對結果統計表,"[{'title': '查對結果統計表', 'url': 'https://web.cec.gov.tw/upload/file/2018-10-07/1726e787-5437-478f-bf97-be35aa1d0dd8/ba4219f83411e108d049576998548cbb.pdf'}]"
7,107/03/29,范雲領銜提出「您是否同意，廢止民國107年1月31日總統公布之全部『勞動基準法增訂及修正條文』，回復原有勞動基準法的規範？」全國性公民投票案,函知提案人之領銜人未依規定於期限內領取連署人名冊格式，視為放棄連署。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-04-26/82170604-0524-4a3e-ae9a-54d402a10d96/9bc69603c0f8e8d0c31633dcd016d985.pdf'}]"
9,107/10/08,紀政領銜提出「你是否同意，以『台灣』（Taiwan）為全名申請參加所有國際運動賽事及2020年東京奧運？」全國性公民投票案,連署人名冊查對結果統計表,"[{'title': '查對結果統計表', 'url': 'https://web.cec.gov.tw/upload/file/2018-10-08/e8b16a27-28b5-47a9-b7cd-49639424299f/cbea8c2d0fe3b518a66e501ff1a66467.pdf'}]"
7,107/09/27,儲寧瑋領銜提出「您是否同意勞工工作採輪班制者，更換班次時至少應有連續十一小時之休息時間。為保障勞工健康與大眾安全，應刪除勞動基準法第三十四條第二項但書與第三項規定。」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-12-28/2722a4ec-34e6-4e4f-bd01-38effb68f7c3/ae62f375915d34801556ef2d628c7e18.pdf'}]"
13,107/10/06,曾獻瑩領銜提出「你是否同意在國民教育階段內（國中及國小），教育部及各級學校不應對學生實施性別平等教育法施行細則所定之同志教育？」全國性公民投票案,連署人名冊查對結果統計表,"[{'title': '查對結果統計表', 'url': 'https://web.cec.gov.tw/upload/file/2018-10-06/00abe0df-c55d-494c-9d70-4757d4d2ce3a/827c3d3c66c2f54e08dc6a5bebe66df4.pdf'}]"
13,107/10/06,游信義領銜提出「你是否同意民法婚姻規定應限定在一男一女的結合?」全國性公民投票案,連署人名冊查對結果統計表,"[{'title': '查對結果統計表', 'url': 'https://web.cec.gov.tw/upload/file/2018-10-06/b06c9be6-20f8-43de-9ec9-e503e729679d/120b60aca5e266082d660ed000791248.pdf'}]"
13,107/10/17,黃國昌領銜提出「您是否同意，立法院應制訂『最低工資法』，保障最低工資應滿足勞工及其受扶養親屬之基本生活所需。」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-12-28/ce98c88d-7275-4e38-8392-279b8815b230/428ffb7784db751ce0778229341cc6aa.pdf'}]"
11,107/03/31,黃國昌領銜提出「您是否同意，應廢止立法院於2018年1月10日三讀通過就勞動基準法相關條文之修正？」全國性公民投票案,函知提案人之領銜人未依規定於期限內領取連署人名冊格式，視為放棄連署。,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2018-04-26/ca2ef3f8-22b3-414b-b6ba-fde79b5360d2/4be10d57846a9413835cf9dec4e0e7c5.pdf'}]"
